Model,Calendar year produced,Body style,Manufacturer,Marque origin,Source
Aion S,2019.0,Sedan,GAC Group,China,[26]
Aion S Plus / ES,2021.0,Sedan,GAC Group,China,
Aion S Max,2023.0,Sedan,GAC Group,China,
Aion LX / Hycan 007,2019.0,Crossover SUV,GAC Group,China,
Aion V,2020.0,Crossover SUV,GAC Group,China,
Aion Y / Hycan Z03,2021.0,Crossover SUV,GAC Group,China,
Aiways U5,2019.0,Crossover SUV,Aiways,China,
Aiways U6,2021.0,Crossover SUV,Aiways,China,
Arcfox α-S,2021.0,Sedan,BAIC Group,China,
Arcfox α-T,2020.0,Crossover SUV,BAIC Group,China,
Arcfox Kaola,2023.0,MPV/Minivan,BAIC Group,China,
Audi Q2L e-tron,2019.0,Crossover SUV,Audi,Germany,
Audi Q5 e-tron,2021.0,Crossover SUV,Audi,Germany,
Avatr 11,2022.0,Crossover SUV,Changan Automobile,China,
Avatr 12,2023.0,Sedan,Changan Automobile,China,
AITO M5 /Seres M5,2022.0,Crossover SUV,Seres,China,
AITO M9,2023.0,Crossover SUV,Seres,China,
Baojun KiWi EV,2020.0,Microcar hatchback,SAIC-GM-Wuling,China,
Baojun Yep,2023.0,Mini SUV,SAIC-GM-Wuling,China,
Baojun Yep Plus,2024.0,Mini SUV,SAIC-GM-Wuling,China,
Baojun Yunduo / Wuling Cloud EV / MG Windsor EV,2023.0,Hatchback,SAIC-GM-Wuling,China,
BAW Yuanbao,2021.0,Hatchback,BAW,China,
Bestune E01,2021.0,Crossover SUV,FAW Group,China,
Bestune NAT,2021.0,MPV/minivan,FAW Group,China,
Bestune Pony,2023.0,City car,FAW Group,China,
BJEV EU5/Beijing EU5,2018.0,Sedan,BAIC Group,China,
BJEV EU7/Beijing EU7,2019.0,Sedan,BAIC Group,China,
BJEV EX5/Beijing EX5,2019.0,Crossover SUV,BAIC Group,China,
BMW i3 (G28),2022.0,Sedan,BMW,Germany,
Buick Electra E4,2023.0,Crossover SUV,General Motors (SAIC-GM),United States,
Buick Electra E5,2022.0,Crossover SUV,General Motors (SAIC-GM),United States,
Buick Velite 6,2019.0,Liftback,General Motors (SAIC-GM),United States,
BYD Atto 3 / Yuan Plus,2022.0,Crossover SUV,BYD Auto,China,
BYD D1,2020.0,MPV/minivan,BYD Auto,China,
BYD Dolphin,2021.0,Hatchback,BYD Auto,China,
BYD e2,2019.0,Hatchback,BYD Auto,China,
BYD e3,2019.0,Sedan,BYD Auto,China,
BYD e6,2011.0,MPV/minivan,BYD Auto,China,
BYD e9,2021.0,Sedan,BYD Auto,China,
BYD Han EV,2020.0,Sedan,BYD Auto,China,
BYD M6,2024.0,MPV/minivan,BYD Auto,China,
BYD Qin EV,2012.0,Sedan,BYD Auto,China,
BYD Qin Plus EV,2018.0,Sedan,BYD Auto,China,
BYD Seagull / Dolphin Mini,2023.0,Hatchback,BYD Auto,China,
BYD Seal,2022.0,Sedan,BYD Auto,China,
BYD Sea Lion 07 / Sealion 7,2024.0,Crossover SUV,BYD Auto,China,
BYD Song L EV,2023.0,Crossover SUV,BYD Auto,China,
BYD Song Plus EV / Seal U / Sealion 6,2015.0,Crossover SUV,BYD Auto,China,
BYD T3/ETP3,2015.0,MPV/minivan,BYD Auto,China,
BYD Tang EV,2015.0,Crossover SUV,BYD Auto,China,
BYD Yuan Pro EV,2019.0,Crossover SUV,BYD Auto,China,
BYD Yuan Up / Atto 2,2024.0,Crossover SUV,BYD Auto,China,
Changan CS55 EV,2020.0,Crossover SUV,Changan Automobile,China,
Changan Lumin,2022.0,Hatchback,Changan Automobile,China,
Changan Ruixing EM80,,Van,Changan Automobile,China,
Changan Nevo A07,2023.0,Sedan,Changan Automobile,China,
Changan Lantuozhe EV,2023.0,Pick Up,Changan Automobile,China,
Chery Arrizo e,2021.0,Sedan,Chery,China,
Chery eQ1,2016.0,Hatchback,Chery,China,
Chery eQ2,2018.0,Sedan,Chery,China,
Chery eQ7,2023.0,Crossover SUV,Chery,China,
Chery QQ Ice Cream / Jetour Ice Cream,2021.0,Hatchback,Chery,China,
Chery Wujie Pro,2022.0,Hatchback,Chery,China,
Chery Omoda E5 / Omoda E5,2023.0,Crossover SUV,Chery,China,
Chevrolet Menlo,2020.0,Hatchback,General Motors (SAIC-GM),United States,
Ciimo M-NV,2021.0,Crossover SUV,Dongfeng Honda,China-Japan,
Ciimo X-NV,2020.0,Crossover SUV,Dongfeng Honda,China-Japan,
Deepal S7,2023.0,Crossover SUV,Changan Automobile,China,
Deepal SL03,2022.0,Sedan,Changan Automobile,China,
Denza D9 EV,2022.0,Minivan,Denza (produced by BYD),China,
Denza N7,2023.0,Crossover SUV,Denza (produced by BYD),China,
Denza Z9 GT EV,2024.0,Shooting brake,Denza (produced by BYD),China,
Dongfeng Aeolus Yixuan,2019.0,Sedan,Dongfeng Motor,China,
Dongfeng EM13,2018.0,Van,Dongfeng Motor,China,
Dongfeng Fengon E3/Seres E3/Landian E3,2019.0,Crossover SUV,DFSK Motor,China,
Dongfeng Fengshen A60 EV/Aeolus E70,2015.0,Sedan,Dongfeng Motor,China,
Dongfeng Aeolus Sky EV01,2023.0,Crossover SUV,Dongfeng Motor,China,
Dongfeng Fengxing T1,2019.0,Hatchback,Dongfeng Liuzhou Motor,China,
Dongfeng Ruitaite EM10,,Van,Dongfeng Motor,China,
Dongfeng Sokon EC31/EC35/EC36,2018.0,Pickup truck and van,DFSK Motor,China,
Dongfeng eπ 007 / Dongfeng Ace 007,2024.0,Sedan,Dongfeng Motor,China,
Dongfeng Nammi 01,2024.0,Hatchback,Dongfeng Motor,China,
Everus VE-1,2019.0,Crossover SUV,GAC Honda,China-Japan,
Everus EA6,2019.0,Sedan,GAC Honda,China-Japan,
Exeed Sterra ES / Exlantix ES,2023.0,Sedan,Chery,China,
Exeed Sterra ET / Exlantix ET,2024.0,Crossover SUV,Chery,China,
Farizon E5/E5L,,Van,Farizon Auto,China,
Fengon Mini EV,2022.0,Hatchback,DFSK Motor,China,
Fengon E380,2022.0,MPV/minivan,DFSK Motor,China,
Forthing Leiting / Friday EV,2023.0,Crossover SUV,DFSK Motor,China,
Foton Smart Smurf E7,2022.0,Van,BAIC Group,China,
Geely Emgrand EV Pro,2020.0,Sedan,Geely,China,
Geely Panda Mini EV,2022.0,Hatchback,Geely,China,[27]
Geely Galaxy E5,2024.0,Crossover SUV,Geely,China,
Geely Galaxy E8,2023.0,fastback Sedan,Geely,China,
Geometry A,2019.0,Sedan,Geely,China,
Geometry G6,2023.0,Sedan,Geely,China,
Geometry C,2019.0,Hatchback,Geely,China,
Geometry M6,2022.0,Hatchback,Geely,China,
Geometry E,2022.0,Crossover SUV,Geely,China,
Great Wall Wingle 7 EV,2018.0,Pickup truck,Great Wall Motors,China,
Great Wall Pao EV,2020.0,Pickup truck,Great Wall Motors,China,
Higer H4E,2016.0,Van,Higer,China,
HiPhi X,2020.0,Crossover SUV,HiPhi,China,
HiPhi Y,2023.0,Crossover SUV,HiPhi,China,
HiPhi Z,2022.0,Shooting brake,HiPhi,China,
