Model,Calendar year produced,Body style,Platform,Dedicated battery electric vehicle?[nb 1],Manufacturer,Marque origin
Aspark Owl,2021,Coupé,,Yes,Aspark,Japan
Audi e-tron GT,2021,Sedan,J1[2],Yes,Audi,Germany
Audi Q4 e-tron,2021,Crossover SUV,MEB[3],Yes,Audi,Germany
Audi Q6 e-tron,2024,Crossover SUV,PPE,Yes,Audi,Germany
Audi Q8 e-tron,2018,Crossover SUV,MLB evo[4],Yes,Audi,Germany
Abarth 500e,2020,Hatchback,,Yes,Stellantis,Italy
Acura ZDX,2024,Crossover SUV,BEV3,Yes,Acura (produced by General Motors),Japan
Alpine A290,2024,Hatchback,CMF–B EV / AmpR Small,Yes,Alpine/Renault,France
Alfa Romeo Junior,2024,Crossover SUV,eCMP/ CMP,No,Stellantis,Italy
BMW i4,2021,Liftback,CLAR[5],No,BMW,Germany
BMW i5,2023,Sedan,CLAR,No,BMW,Germany
BMW i5 Touring,2024,Station wagon,CLAR,No,BMW,Germany
BMW i7,2022,Sedan,CLAR,No,BMW,Germany
BMW iX,2021,Crossover SUV,iX[6],Yes,BMW,Germany
BMW iX1,2022,Crossover SUV,UKL2,No,BMW,Germany
BMW iX2,2023,Crossover SUV,UKL2,No,BMW,Germany
BMW iX3,2020,Crossover SUV,CLAR[7],No,BMW,Germany
BrightDrop Zevo,2022,Van,BT1,Yes,General Motors,United States
Cadillac Lyriq,2022,Crossover SUV,BEV3[8],Yes,General Motors,United States
Cadillac Optiq,2023,Crossover SUV,BEV3,Yes,General Motors,United States
Cadillac Celestiq,2024,Liftback,BEV3,Yes,General Motors,United States
Chevrolet Blazer EV,2023,Crossover SUV,BEV3,Yes,General Motors,United States
Chevrolet Equinox EV,2024,Crossover SUV,BEV3,Yes,General Motors,United States
Chevrolet Silverado EV,2023,Pickup truck,BT1,Yes,General Motors,United States
Citroën e-Berlingo,2021,Van,EMP2,No,Stellantis,France
Citroën ë-C3 (Europe),2023,Hatchback,Smart Car,No,Stellantis,France
Citroën ë-C3 (India),2023,Hatchback,Smart Car,No,Stellantis,France
Citroën ë-C4,2021,Crossover SUV,eCMP,No,Stellantis,France
Citroën ë-C4 X,2022,Crossover SUV,eCMP,No,Stellantis,France
Citroën ë-Jumper/Relay,2021,Van,,No,Stellantis,France
Citroën ë-Jumpy/Dispatch/SpaceTourer,2021,Van,EMP2,No,Stellantis,France
Cupra Born,2021,Hatchback,MEB,Yes,SEAT,Spain
Cupra Tavascan,2023,Crossover SUV,MEB,Yes,SEAT,Spain
Dacia Spring Electric,2021,Hatchback,CMFA-EV[9],No,Dacia/Renault,Romania
DS 3 Crossback E-Tense,2019,Crossover SUV,eCMP,No,Stellantis,France
DS 7 Crossback E-Tense,2017,Crossover SUV,EMP2 platform,No,Stellantis,France
Dodge Charger Daytona EV,2024,Liftback,STLA Large,No,Stellantis,United States
Faraday Future FF 91,2023,Crossover SUV,,Yes,Faraday Future,United States
Fiat e-Ducato,2021,Van,,No,Stellantis,Italy
Fiat e-Scudo/e-Ulysse,2022,Van,EMP2,No,Stellantis,Italy
Fiat 500e,2020,Hatchback,,Yes,Stellantis,Italy
Fiat 600e,2023,Crossover SUV,eCMP / CMP,No,Stellantis,Italy
Ford Capri EV,2024,Crossover SUV,MEB,Yes,Ford,United States
Ford E-Transit,2021,Van,,No,Ford,United States
Ford E-Transit Courier,2023,Van,Ford Global B-car,No,Ford,United States
Ford E-Transit Custom,2021,Van,,No,Ford,United States
Ford F-150 Lightning,2022,Pickup truck,,No,Ford,United States
Ford Mustang Mach-E,2020,Crossover SUV,GE1[10],Yes,Ford,United States
Ford Explorer EV,2024,Crossover SUV,MEB,Yes,Ford,United States
Genesis Electrified G80,2021,Sedan,M3,No,Genesis Motor,South Korea
Genesis Electrified GV70,2022,Crossover SUV,M3,No,Genesis Motor,South Korea
Genesis GV60,2021,Crossover SUV,E-GMP[11],Yes,Genesis Motor,South Korea
GMC Sierra EV,2023,Pickup truck,BT1,Yes,General Motors,United States
GMC Hummer EV,2022,Pickup truck and SUV,BT1[12],Yes,General Motors,United States
Honda e:Ny1/e:N1,2023,Crossover SUV,,No,Honda,Japan
Honda Prologue,2023,Crossover SUV,BEV3,Yes,Honda (produced by General Motors),Japan
Hyundai Casper Electric / Inster,2024,Hatchback,Hyundai-Kia K1,No,Hyundai,South Korea
Hyundai Ioniq 5,2021,Crossover SUV,E-GMP[13],Yes,Hyundai,South Korea
Hyundai Ioniq 6,2022,Sedan,E-GMP,Yes,Hyundai,South Korea
Hyundai Kona Electric,2019,Crossover SUV,,No,Hyundai,South Korea
Hyundai Porter2 Electric,2019,Pickup truck,,No,Hyundai,South Korea
Jaguar I-Pace,2018,Crossover SUV,D7e[14],Yes,Jaguar Land Rover,United Kingdom
Jeep Avenger,2023,Crossover SUV,eCMP / STLA Small,No,Stellantis,United States
Kia Bongo EV,2020,Pickup truck,,No,Kia,South Korea
Kia EV3,2024,Crossover SUV,E-GMP,Yes,Kia,South Korea
Kia EV6,2021,Crossover SUV,E-GMP[15],Yes,Kia,South Korea
Kia EV9,2023,Crossover SUV,E-GMP,Yes,Kia,South Korea
Kia Niro EV/e-Niro,2018,Crossover SUV,,No,Kia,South Korea
Kia Ray EV,2012,MPV/minivan,,No,Kia,South Korea
KGM Korando e-Motion,2022,Crossover SUV,,No,KG Mobility,South Korea
KGM Torres EVX,2023,Crossover SUV,,No,KG Mobility,South Korea
Lexus RZ,2022,Crossover SUV,e-TNGA,Yes,Toyota,Japan
Lexus UX 300e,2020,Crossover SUV,TNGA: GA-C[16],No,Toyota,Japan
Lotus Eletre,2023,Crossover SUV,EPA[17],Yes,Lotus Cars,United Kingdom
Lotus Emeya,2024,Liftback,EPA[17],Yes,Lotus Cars,United Kingdom
Lotus Evija,2023,Coupé,Extreme[18],Yes,Lotus Cars,United Kingdom
Lucid Air,2021,Sedan,,Yes,Lucid Motors,United States
Luxgen n7,2023,Crossover SUV,Foxtron MIH,Yes,Yulon Motors,Taiwan
Lancia Ypsilon,2024,Hatchback,eCMP,No,Stellantis,Italy
Mahindra XUV400,2022,Crossover SUV,,No,Mahindra,India
Maserati Grecale Folgore,2023,Crossover SUV,FCA Giorgio,No,Stellantis,Italy
Maserati GranTurismo Folgore,2023,Coupé,Giorgio Sport,No,Stellantis,Italy
Mazda MX-30,2020,Crossover SUV,e-Skyactiv,No,Mazda,Japan
Mercedes-Benz EQA,2021,Crossover SUV,MFA2,No,Mercedes-Benz Group,Germany
Mercedes-Benz EQB,2021,Crossover SUV,MFA2,No,Mercedes-Benz Group,Germany
Mercedes-Benz EQE,2022,Sedan,EVA,Yes,Mercedes-Benz Group,Germany
Mercedes-Benz EQE SUV,2022,Crossover SUV,EVA,Yes,Mercedes-Benz Group,Germany
Mercedes-Benz EQS,2021,Liftback,MEA,Yes,Mercedes-Benz Group,Germany
Mercedes-Benz EQS SUV,2022,Crossover SUV,MEA,Yes,Mercedes-Benz Group,Germany
Mercedes-Benz EQT,2023,Van,Renault–Nissan CMF-CD platform,No,Mercedes-Benz Group,Germany
Mercedes-Benz EQV,2020,MPV/minivan,,No,Mercedes-Benz Group,Germany
Mercedes-Benz G 580 with EQ Technology,2024,SUV,,No,Mercedes-Benz Group,Germany
Mini Cooper E/SE,2023,Hatchback,,No,Mini/BMW,United Kingdom
Mini Countryman E/SE,2023,Crossover SUV,UKL2,No,Mini/BMW,United Kingdom
Mitsubishi eK X EV,2022,Hatchback,KEI-EV,No,NMKV,Japan
Mitsubishi Minicab MiEV,2011,Van,,No,Mitsubishi Motors,Japan
Moskvitch 3e,2022,Crossover SUV,,No,Moskvitch,Russia
Nissan Ariya,2021,Crossover SUV,CMF-EV,Yes,Nissan,Japan
Nissan Townstar EV,2021,Van,CMF-CD,No,Nissan (produced by Renault),Japan
Nissan Leaf,2010,Hatchback,,Yes,Nissan,Japan
Nissan Sakura,2022,Hatchback,KEI-EV,Yes,NMKV,Japan
Opel/Vauxhall Combo-e,2021,Van,EMP2,No,Stellantis,Germany/United Kingdom
Opel/Vauxhall Corsa Electric,2019,Hatchback,eCMP[19],No,Stellantis,Germany/United Kingdom
Opel/Vauxhall Mokka-e,2020,Crossover SUV,eCMP,No,Stellantis,Germany/United Kingdom
Opel/Vauxhall Movano-e,2021,Van,,No,Stellantis,Germany/United Kingdom
Opel/Vauxhall Vivaro/Zafira-e,2021,Van,EMP2,No,Stellantis,Germany/United Kingdom
Peugeot e-208,2019,Hatchback,eCMP,No,Stellantis,France
Peugeot e-2008,2020,Crossover SUV,eCMP,No,Stellantis,France
Peugeot e-3008,2024,Crossover SUV,STLA Medium,No,Stellantis,France
Peugeot e-308/e-308 SW,2022,Hatchback and station wagon,EMP2 V3,No,Stellantis,France
Peugeot e-Boxer,2021,Van,,No,Stellantis,France
Peugeot e-Expert/e-Traveller,2021,Van,EMP2,No,Stellantis,France
Peugeot e-Rifter,2021,Van,EMP2,No,Stellantis,France
Pininfarina Battista,2022,Coupé,,Yes,Automobili Pininfarina,Germany/Italy
Polestar 2,2020,Liftback,CMA,Yes,Volvo Cars,Sweden
Polestar 3,2024,Crossover SUV,SPA2,Yes,Volvo Cars,Sweden
Polestar 4,2023,Crossover SUV,SEA,Yes,Volvo Cars,Sweden
Porsche Macan (second generation),2024,Crossover SUV,PPE,Yes,Porsche,Germany
Porsche Taycan,2019,Sedan and shooting brake,J1,Yes,Porsche,Germany
Renault 5 E-Tech,2024,Hatchback,CMF–B EV / AmpR Small,Yes,Renault,France
Renault Kangoo E-Tech Electric,2021,Van,CMF-CD,No,Renault,France
Renault Master Z.E./E-Tech Electric,2018,Van,,No,Renault,France
Renault Megane E-Tech Electric,2022,Crossover SUV,CMF-EV,Yes,Renault,France
Renault Twingo Z.E.,2020,Hatchback,,No,Renault,France
Renault Scenic E-Tech,2024,Crossover SUV,CMF-EV,Yes,Renault,France
Rimac Nevera,2021,Coupé,,Yes,Rimac Automobili,Croatia
Rivian EDV,2021,Van,,Yes,Rivian,United States
Rivian R1S,2022,SUV,,Yes,Rivian,United States
Rivian R1T,2021,Pickup truck,,Yes,Rivian,United States
Rolls-Royce Spectre,2023,Coupé,Architecture of Luxury,Yes,Rolls-Royce,United Kingdom
Škoda Enyaq,2020,Crossover SUV,MEB[20],Yes,Škoda Auto,Czech Republic
Smart #1,2022,Crossover SUV,SEA[21],Yes,Smart Automobile (produced by Geely),Germany
Smart #3,2023,Crossover SUV,SEA,Yes,Smart Automobile (produced by Geely),Germany
Subaru Solterra,2022,Crossover SUV,e-TNGA/e-SGP[22],Yes,Subaru (produced by Toyota),Japan
Tata Nexon.ev,2020,Crossover SUV,,No,Tata Motors Cars,India
Tata Punch.ev,2024,Crossover SUV,Acti.ev,No,Tata Motors Cars,India
Tata Harrier.ev,2024,Crossover SUV,,No,Tata Motors Cars,India
Tata Tiago.ev,2022,Hatchback,,No,Tata Motors Cars,India
Tata Tigor EV,2022,Sedan,,No,Tata Motors Cars,India
Tesla Cybertruck,2023,Pickup,,Yes,"Tesla, Inc.",United States
Tesla Model 3,2017,Sedan,Model 3,Yes,"Tesla, Inc.",United States
Tesla Model S,2012,Liftback,Model S,Yes,"Tesla, Inc.",United States
Tesla Model X,2015,Crossover SUV,Model S[23],Yes,"Tesla, Inc.",United States
Tesla Model Y,2020,Crossover SUV,Model 3[24],Yes,"Tesla, Inc.",United States
Togg T10X,2022,Crossover SUV,,Yes,Togg,Turkey
Toyota bZ4X,2022,Crossover SUV,e-TNGA[25],Yes,Toyota,Japan
Toyota Proace City Electric,2021,Van,EMP2,No,Toyota (produced by Stellantis),Japan
Toyota Proace Electric,2021,Van,EMP2,No,Toyota (produced by Stellantis),Japan
Toyota Proace Max Electric,2023,Van,,No,Toyota (produced by Stellantis),Japan
VinFast VF e34,2021,Crossover SUV,,Yes,VinFast,Vietnam
VinFast VF 5,2023,Crossover SUV,,Yes,VinFast,Vietnam
VinFast VF 6,2024,Crossover SUV,,Yes,VinFast,Vietnam
VinFast VF 7,2024,Crossover SUV,,Yes,VinFast,Vietnam
VinFast VF 8,2022,Crossover SUV,,Yes,VinFast,Vietnam
VinFast VF 9,2023,Crossover SUV,,Yes,VinFast,Vietnam
Volkswagen e-Crafter,2018,Van,,No,Volkswagen,Germany
Volkswagen ID.3,2020,Hatchback,MEB,Yes,Volkswagen,Germany
Volkswagen ID.4,2020,Crossover SUV,MEB,Yes,Volkswagen,Germany
Volkswagen ID.5,2022,Crossover SUV,MEB,Yes,Volkswagen,Germany
Volkswagen ID.7,2023,Sedan,MEB,Yes,Volkswagen,Germany
Volkswagen ID.7 Tourer,2024,Station Wagon,MEB,Yes,Volkswagen,Germany
Volkswagen ID. Buzz,2022,MPV/minivan,MEB,Yes,Volkswagen,Germany
Volvo EC40 (previously C40 Recharge),2021,Crossover SUV,CMA,No,Volvo Cars,Sweden
Volvo EM90,2023,MPV/minivan,SEA,Yes,Volvo Cars,Sweden
Volvo EX30,2023,Crossover SUV,SEA,Yes,Volvo Cars,Sweden
